
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,30,23,16,16,9,5,68,57,43,30.09,30.02,29.93,10,10,10,21,16,29,0.00,4,,242<br />
2015-1-2,36,28,21,21,19,17,85,67,48,30.37,30.26,30.09,10,10,10,13,7,,0.00,5,,250<br />
2015-1-3,33,28,24,32,30,20,96,93,81,30.31,30.02,29.77,10,3,1,13,7,17,0.47,7,Rain-Snow,95<br />
2015-1-4,34,26,19,30,23,12,93,83,68,30.19,29.95,29.74,10,5,0,21,15,32,0.01,7,Fog-Snow,291<br />
2015-1-5,19,12,6,13,2,-2,77,71,59,30.54,30.44,30.20,10,6,1,23,15,31,0.00,7,Snow,273<br />
2015-1-6,17,9,1,11,5,-3,91,79,65,30.42,30.22,30.04,10,6,1,22,9,31,0.03,7,Snow,253<br />
2015-1-7,12,6,1,8,0,-8,88,70,51,30.61,30.34,30.04,10,6,1,20,12,29,0.01,6,Snow,305<br />
2015-1-8,12,5,-2,8,-1,-11,84,75,60,30.52,30.12,29.72,10,6,1,20,15,28,0.00,6,Snow,223<br />
2015-1-9,18,10,0,13,5,-6,84,76,64,30.36,30.06,29.70,10,4,0,24,16,34,0.00,7,Snow,264<br />
2015-1-10,15,5,-2,5,-3,-8,79,71,58,30.49,30.43,30.36,10,10,10,17,10,24,0.00,4,,220<br />
2015-1-11,30,22,15,25,19,6,93,78,56,30.40,30.32,30.25,10,6,1,14,7,23,0.04,8,Snow,215<br />
2015-1-12,28,22,12,26,21,4,96,84,60,30.66,30.32,30.21,10,5,1,16,5,23,0.06,6,Snow,307<br />
2015-1-13,15,6,-5,3,-4,-11,88,70,31,30.78,30.64,30.46,10,9,3,12,7,,0.00,2,Snow,48<br />
2015-1-14,16,6,-5,5,1,-9,92,83,57,30.48,30.36,30.30,10,6,1,9,3,,0.00,6,Snow,256<br />
2015-1-15,28,14,0,22,10,-2,91,77,65,30.27,30.06,29.90,10,7,5,15,6,22,0.00,5,Snow,226<br />
2015-1-16,30,24,18,24,16,7,88,68,49,30.27,30.10,29.89,10,9,6,14,10,,0.00,7,,318<br />
2015-1-17,41,28,16,31,21,7,89,74,62,30.23,29.93,29.64,10,9,5,17,9,25,0.00,3,,161<br />
2015-1-18,39,36,33,33,31,26,96,84,70,29.95,29.73,29.61,10,8,2,16,11,22,0.03,8,Snow,256<br />
2015-1-19,36,33,30,30,27,23,92,79,69,30.02,29.98,29.95,10,10,8,9,5,,0.00,8,Snow,331<br />
2015-1-20,30,28,26,26,25,22,92,85,79,30.07,29.98,29.90,10,6,1,9,4,,0.03,8,Snow,95<br />
2015-1-21,27,25,23,23,21,19,92,86,80,30.21,30.05,30.00,10,4,0,12,6,,0.08,8,Fog-Snow,66<br />
2015-1-22,28,24,21,23,19,16,92,79,69,30.45,30.37,30.18,10,9,5,10,6,,0.00,8,Snow,298<br />
2015-1-23,30,26,23,24,22,19,88,77,72,30.38,30.12,29.80,10,10,8,16,9,,0.00,6,,236<br />
2015-1-24,37,31,25,33,27,21,96,85,76,29.81,29.66,29.56,10,7,4,13,8,,0.00,8,,247<br />
2015-1-25,35,27,19,33,21,8,100,78,55,30.01,29.84,29.68,10,8,3,17,8,22,0.00,7,Snow,52<br />
2015-1-26,27,18,10,10,7,5,84,65,43,30.02,29.97,29.92,10,10,10,12,7,,0.00,1,,38<br />
2015-1-27,28,18,7,12,9,3,84,71,51,30.27,30.14,30.01,10,10,10,13,5,17,0.00,0,,6<br />
2015-1-28,28,16,3,15,9,1,92,70,45,30.40,30.30,30.14,10,10,10,10,4,,0.00,0,,193<br />
2015-1-29,34,29,24,30,25,15,93,81,64,30.11,29.87,29.72,10,6,0,22,10,29,0.04,8,Fog-Rain-Snow,318<br />
2015-1-30,26,16,7,16,7,1,88,65,50,30.48,30.38,30.15,10,10,6,21,14,33,0.00,4,Snow,342<br />
2015-1-31,35,20,5,25,16,2,88,74,54,30.42,30.28,30.19,10,10,9,12,3,,0.00,5,,236<br />
2015-2-1,32,24,17,28,20,12,92,86,69,30.19,30.00,29.64,10,1,0,22,9,29,0.30,8,Fog-Snow,54<br />
2015-2-2,17,8,0,13,5,-9,84,73,39,30.22,29.91,29.64,10,5,0,22,15,31,0.01,4,Fog-Snow,345<br />
2015-2-3,24,8,-8,22,11,-12,92,83,65,30.26,30.15,30.05,10,7,2,14,6,,0.02,6,Snow,208<br />
2015-2-4,30,23,14,27,21,6,96,85,65,30.24,30.04,29.94,10,4,0,16,8,25,0.05,8,Fog-Snow,286<br />
2015-2-5,16,-1,-18,4,-5,-20,100,74,52,30.47,30.37,30.25,10,8,1,14,7,18,0.00,0,,279<br />
2015-2-6,28,18,8,18,10,-1,74,67,54,30.24,30.16,30.10,10,10,9,21,13,,0.00,5,,246<br />
2015-2-7,37,28,18,30,24,15,88,77,65,30.07,29.90,29.74,10,8,5,8,4,,0.00,1,,198<br />
2015-2-8,41,32,24,36,29,18,92,86,77,29.95,29.74,29.65,10,5,2,17,5,,0.02,6,Rain-Snow,5<br />
2015-2-9,25,20,14,17,15,10,84,77,68,30.25,30.10,29.96,10,10,5,15,11,,0.00,5,Snow,17<br />
2015-2-10,27,18,10,14,11,7,88,76,53,30.32,30.25,30.16,10,8,3,9,6,,0.00,3,Snow,79<br />
2015-2-11,33,25,17,30,22,14,96,87,72,30.15,29.96,29.86,10,4,1,15,8,22,0.00,8,Snow,230<br />
2015-2-12,27,16,5,21,4,-6,85,64,44,30.41,30.14,29.91,10,8,2,21,12,29,0.00,5,Snow,336<br />
2015-2-13,21,3,-15,17,2,-18,86,72,61,30.41,30.19,29.85,10,9,2,17,8,23,0.00,5,Snow,227<br />
2015-2-14,25,13,1,20,7,-11,88,71,51,30.31,29.81,29.62,10,3,0,30,15,41,0.01,7,Snow,321<br />
2015-2-15,5,-2,-11,-11,-15,-20,78,56,43,30.58,30.51,30.32,10,10,10,15,10,22,0.00,0,,346<br />
2015-2-16,7,-6,-20,-2,-11,-26,87,72,58,30.52,30.30,30.06,10,10,9,8,2,,0.00,2,,128<br />
2015-2-17,19,5,-9,15,6,-13,86,79,68,30.05,29.89,29.81,10,5,1,13,6,,0.00,8,Snow,235<br />
2015-2-18,16,8,1,8,2,-6,87,71,49,30.08,29.84,29.71,10,6,0,23,9,34,0.00,6,Snow,275<br />
2015-2-19,3,-2,-15,-5,-11,-18,86,64,41,30.38,30.23,30.09,10,9,2,15,8,22,0.00,4,Snow,320<br />
2015-2-20,12,-7,-26,2,-12,-31,85,65,45,30.44,30.32,30.05,10,10,9,18,6,24,0.00,3,,204<br />
2015-2-21,25,16,6,18,13,3,96,84,64,30.14,30.00,29.90,10,5,1,10,4,,0.00,6,Snow,224<br />
2015-2-22,27,18,7,21,11,-3,92,75,50,30.56,30.30,30.10,10,6,2,17,6,20,0.00,7,Snow,300<br />
2015-2-23,10,2,-7,-5,-9,-14,76,62,48,30.71,30.59,30.36,10,10,10,12,8,,0.00,0,,269<br />
2015-2-24,21,8,-4,16,3,-9,85,70,54,30.33,29.89,29.65,10,10,8,22,12,33,0.00,4,Snow,225<br />
2015-2-25,21,14,8,17,7,-3,88,66,44,30.09,29.91,29.66,10,9,2,15,8,22,0.00,3,Snow,345<br />
2015-2-26,15,4,-6,4,1,-9,87,67,56,30.40,30.18,30.07,10,7,1,12,8,,0.00,7,Snow,15<br />
2015-2-27,17,-2,-20,-1,-8,-23,91,69,43,30.72,30.58,30.41,10,10,10,13,4,,0.00,0,,278<br />
2015-2-28,19,2,-14,5,-4,-19,91,66,43,30.82,30.73,30.58,10,10,5,12,3,,0.00,1,Snow,197<br />
2015-3-1,24,18,12,18,14,9,88,81,74,30.55,30.35,30.23,10,6,1,12,3,,0.01,8,Snow,258<br />
2015-3-2,30,24,17,18,13,9,86,65,47,30.49,30.39,30.23,10,9,5,15,10,21,0.00,2,Snow,271<br />
2015-3-3,36,28,21,33,24,14,96,86,72,30.36,29.88,29.56,10,4,0,21,9,29,0.20,8,Fog-Rain-Snow,182<br />
2015-3-4,33,24,16,26,15,-1,78,61,43,30.27,30.00,29.81,10,10,8,20,11,25,0.00,4,,295<br />
2015-3-5,17,8,-5,0,-2,-10,82,58,43,30.56,30.43,30.30,10,10,10,15,9,18,0.00,0,,332<br />
2015-3-6,19,3,-13,10,0,-16,91,69,47,30.56,30.42,30.22,10,10,10,16,6,24,0.00,1,,222<br />
2015-3-7,43,29,15,30,19,8,77,67,56,30.19,30.07,29.96,10,10,9,16,9,20,0.00,3,,234<br />
2015-3-8,41,31,21,25,23,19,92,69,47,30.19,30.14,30.10,10,10,7,16,6,,0.00,2,,248<br />
2015-3-9,45,30,17,30,26,16,96,75,51,30.23,30.18,30.12,10,8,4,12,6,,0.00,0,,242<br />
2015-3-10,45,34,23,40,31,21,100,90,76,30.17,30.06,29.95,5,3,0,8,2,,0.00,5,Fog,224<br />
2015-3-11,53,40,28,36,30,22,100,75,32,30.43,30.17,29.99,10,6,0,12,6,17,0.00,0,Fog,302<br />
2015-3-12,44,34,24,25,17,10,91,55,27,30.64,30.56,30.46,10,10,10,13,4,,0.00,0,,108<br />
2015-3-13,51,40,28,41,29,14,100,69,43,30.48,30.20,30.04,10,8,0,9,4,,0.00,3,Fog,174<br />
2015-3-14,48,44,37,43,37,30,100,80,58,30.05,29.93,29.87,10,6,0,21,9,32,0.00,5,Fog,294<br />
2015-3-15,54,42,30,37,30,26,82,65,38,30.25,30.14,30.05,10,10,10,17,11,33,0.00,3,,293<br />
2015-3-16,64,50,35,47,40,34,96,71,45,30.03,29.88,29.73,10,10,10,13,7,,0.00,1,,234<br />
2015-3-17,54,42,23,45,22,5,93,54,24,30.30,30.06,29.74,10,10,10,23,14,33,0.00,2,,335<br />
2015-3-18,48,34,21,20,17,12,81,51,30,30.30,30.26,30.20,10,10,10,17,7,25,0.00,0,,291<br />
2015-3-19,39,32,26,20,15,10,78,48,34,30.38,30.29,30.19,10,10,10,9,6,,0.00,2,,84<br />
2015-3-20,51,40,30,35,24,15,82,58,42,30.17,30.09,30.03,10,10,8,13,5,,0.00,6,,226<br />
2015-3-21,52,42,32,38,32,14,93,70,36,30.23,30.05,29.95,10,8,4,15,10,21,0.00,5,,288<br />
2015-3-22,37,29,21,16,8,1,69,43,27,30.36,30.29,30.25,10,10,10,14,7,,0.00,3,,18<br />
2015-3-23,30,24,19,18,14,8,92,60,45,30.37,30.33,30.31,10,10,10,13,5,,0.00,5,,81<br />
2015-3-24,43,30,17,21,13,8,81,57,29,30.38,30.32,30.22,10,10,10,10,7,,0.00,1,,88<br />
2015-3-25,52,40,27,43,35,16,97,82,63,30.19,29.94,29.82,10,6,1,22,10,25,0.22,6,Rain,203<br />
2015-3-26,45,39,34,36,30,22,89,71,47,30.01,29.92,29.84,10,8,4,16,8,18,0.01,8,,301<br />
2015-3-27,33,26,19,23,12,6,69,61,44,30.19,30.04,29.96,10,8,2,16,12,23,0.00,7,Snow,347<br />
2015-3-28,37,25,14,15,8,4,81,54,26,30.34,30.28,30.20,10,10,10,12,7,,0.00,1,,342<br />
2015-3-29,44,28,12,32,19,10,92,64,35,30.34,30.07,29.77,10,10,2,24,9,38,0.00,3,Rain-Snow,214<br />
2015-3-30,57,46,36,34,27,20,76,53,24,29.97,29.89,29.77,10,10,10,29,18,39,0.00,3,,291<br />
2015-3-31,48,38,30,37,33,29,100,85,56,30.00,29.84,29.69,10,7,2,16,8,21,0.20,7,Rain,33<br />
2015-4-1,66,44,25,39,31,24,100,81,27,30.13,30.04,29.99,10,5,0,13,3,,0.00,1,Fog,222<br />
2015-4-2,60,46,33,57,47,31,96,83,50,29.97,29.76,29.64,10,8,1,20,8,31,0.21,6,Rain,233<br />
