
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-1-1,28,16,5,18,9,1,92,68,50,30.17,30.10,30.04,10,10,10,12,7,,0.00,5,,311<br />
2013-1-2,25,13,1,17,10,-1,92,81,69,30.22,30.16,30.07,10,10,8,12,4,,0.00,6,,241<br />
2013-1-3,30,20,10,24,15,4,82,75,67,30.19,30.14,30.09,10,8,4,15,7,21,0.00,7,,241<br />
2013-1-4,28,24,21,23,18,15,82,73,61,30.22,30.13,30.06,10,10,8,23,14,30,0.00,3,,252<br />
2013-1-5,32,20,8,29,18,7,93,86,75,30.30,30.19,30.04,8,4,0,13,5,18,0.00,3,Fog-Snow,217<br />
2013-1-6,35,34,32,31,28,24,87,81,70,30.28,30.01,29.91,10,6,3,16,11,25,0.00,8,Snow,255<br />
2013-1-7,33,30,26,24,22,19,79,73,66,30.40,30.30,30.17,10,9,7,18,7,26,0.00,3,,226<br />
2013-1-8,34,25,16,26,20,14,93,83,70,30.28,30.22,30.17,7,4,2,9,6,,0.00,0,,204<br />
2013-1-9,45,30,15,31,23,14,100,75,44,30.47,30.18,30.07,10,6,1,22,6,32,0.00,1,,253<br />
2013-1-10,39,29,19,32,25,16,89,78,60,30.59,30.45,30.17,10,8,2,12,3,,0.05,2,Rain,120<br />
2013-1-11,57,46,35,50,40,32,100,90,72,30.15,29.92,29.77,10,5,1,16,8,23,0.61,6,Rain,160<br />
2013-1-12,59,51,43,50,46,41,100,89,69,29.94,29.89,29.84,10,5,0,13,6,17,0.00,1,Fog-Rain,207<br />
2013-1-13,50,41,30,48,37,33,100,89,81,30.06,29.86,29.73,10,7,2,17,10,23,0.63,8,Rain-Snow,335<br />
2013-1-14,30,24,17,17,15,14,88,75,66,30.45,30.33,30.04,10,10,10,22,12,28,0.00,6,,291<br />
2013-1-15,30,21,12,19,15,9,92,77,58,30.46,30.36,30.16,10,10,7,5,1,,0.00,0,,187<br />
2013-1-16,37,27,17,26,18,14,92,69,39,30.14,29.97,29.84,10,10,7,20,6,28,0.00,4,,258<br />
2013-1-17,37,28,19,27,18,4,75,61,43,30.33,30.16,29.99,10,10,10,20,11,31,0.00,3,,308<br />
2013-1-18,34,24,15,22,14,6,77,60,46,30.45,30.28,30.00,10,10,10,21,8,29,0.00,4,,222<br />
2013-1-19,48,41,34,33,27,21,68,58,48,29.98,29.85,29.62,10,10,10,22,15,29,0.00,1,,227<br />
2013-1-20,44,30,17,32,7,4,63,56,48,30.16,30.02,29.58,10,10,10,23,16,37,0.00,7,,294<br />
2013-1-21,18,10,3,13,7,-3,88,75,59,30.14,30.01,29.93,10,4,0,21,8,28,0.01,8,Fog-Snow,292<br />
2013-1-22,10,2,-7,5,-2,-13,85,72,58,30.32,30.24,30.09,10,7,1,15,8,20,0.00,6,Snow,270<br />
2013-1-23,17,9,1,11,5,-1,92,78,62,30.31,30.17,30.05,10,7,2,14,6,,0.00,8,Snow,247<br />
2013-1-24,19,12,5,9,4,-4,85,70,41,30.60,30.43,30.08,10,9,2,13,8,21,0.00,2,Snow,338<br />
2013-1-25,19,16,12,18,13,3,96,82,64,30.49,30.14,29.99,10,4,0,8,4,,0.06,8,Fog-Snow,165<br />
2013-1-26,25,18,12,18,15,9,96,80,59,30.48,30.27,30.02,10,8,4,10,4,,0.00,7,Snow,302<br />
2013-1-27,30,16,3,27,16,0,100,86,61,30.50,30.35,30.13,10,4,0,15,4,21,0.20,5,Fog-Rain-Snow,141<br />
2013-1-28,43,36,30,43,36,28,100,96,92,30.12,29.97,29.88,5,2,0,15,9,24,0.21,8,Fog-Rain-Snow,214<br />
2013-1-29,57,46,35,54,47,35,100,96,87,30.01,29.76,29.47,10,3,0,25,6,90,0.53,8,Fog-Rain-Thunderstorm,188<br />
2013-1-30,61,47,32,57,47,24,100,90,73,29.42,29.24,29.14,10,7,0,25,12,41,0.53,8,Fog-Rain,227<br />
2013-1-31,30,22,15,23,15,9,89,76,60,29.91,29.65,29.27,10,5,0,30,20,44,0.00,8,Snow,273<br />
2013-2-1,18,13,8,13,8,0,88,75,62,30.31,30.12,29.88,10,6,0,21,11,26,0.00,7,Snow,267<br />
2013-2-2,23,16,8,19,13,4,93,82,71,30.23,30.02,29.92,10,4,1,12,8,,0.01,8,Snow,235<br />
2013-2-3,21,10,0,18,9,-4,87,78,62,30.03,29.93,29.83,10,7,0,17,6,25,0.00,7,Fog-Snow,276<br />
2013-2-4,23,18,14,19,16,12,93,85,78,30.04,29.94,29.86,10,4,1,6,2,,0.02,8,Snow,143<br />
2013-2-5,28,20,12,25,18,10,96,87,69,29.97,29.89,29.80,10,6,0,15,4,22,0.01,7,Fog-Snow,226<br />
2013-2-6,28,16,5,22,13,2,92,71,56,30.33,30.21,30.00,10,10,7,14,7,21,0.00,2,Snow,297<br />
2013-2-7,39,32,24,27,23,16,88,74,62,30.30,30.11,29.86,10,9,4,12,5,17,0.01,5,Rain,99<br />
2013-2-8,30,24,18,28,23,14,93,83,63,30.37,29.97,29.76,10,5,1,23,12,33,0.24,7,Rain-Snow,3<br />
2013-2-9,28,17,6,19,15,3,96,80,58,30.47,30.40,30.31,10,10,7,9,5,,0.00,0,,143<br />
2013-2-10,41,30,19,37,26,18,96,80,60,30.28,30.02,29.68,10,9,7,10,5,,0.11,5,Rain,127<br />
2013-2-11,44,38,30,42,30,24,97,76,64,29.90,29.69,29.57,10,10,5,31,15,41,0.01,8,Rain,244<br />
2013-2-12,33,30,27,24,22,19,79,71,64,30.06,29.99,29.91,10,10,8,18,13,25,0.00,8,Snow,276<br />
2013-2-13,37,32,26,25,22,19,88,73,55,29.94,29.83,29.75,10,9,5,8,5,,0.00,4,,234<br />
2013-2-14,39,32,26,34,30,25,96,83,68,29.86,29.75,29.68,10,6,2,24,9,34,0.00,7,Snow,220<br />
2013-2-15,33,28,19,27,16,10,80,62,45,30.14,30.04,29.88,10,10,10,14,11,22,0.00,7,,300<br />
2013-2-16,26,19,12,19,15,7,93,79,48,30.12,30.03,29.96,10,5,1,20,5,22,0.00,7,Snow,304<br />
2013-2-17,25,18,10,12,6,1,88,66,39,30.23,30.16,30.04,10,10,4,17,8,20,0.00,2,Snow,319<br />
2013-2-18,46,31,16,35,20,7,71,60,45,30.22,29.95,29.61,10,10,10,18,8,24,0.00,3,,164<br />
2013-2-19,43,30,17,40,22,10,93,81,68,29.96,29.69,29.42,10,5,0,29,19,39,0.18,8,Fog-Rain-Snow,250<br />
2013-2-20,21,18,15,14,10,5,79,67,57,30.26,30.13,29.93,10,9,5,23,15,29,0.00,8,Snow,294<br />
2013-2-21,26,24,21,17,14,11,82,71,60,30.39,30.33,30.27,10,10,9,12,8,16,0.00,6,,40<br />
2013-2-22,33,27,21,32,25,17,100,90,74,30.27,29.97,29.88,10,4,0,16,10,25,0.11,8,Fog-Snow,130<br />
2013-2-23,33,27,19,28,20,14,89,69,59,29.95,29.91,29.87,10,10,9,16,11,25,0.00,7,,249<br />
2013-2-24,36,25,14,26,21,12,92,79,59,30.17,30.05,29.93,10,8,3,17,7,,0.00,6,Snow,267<br />
2013-2-25,41,28,15,24,20,12,100,73,50,30.25,30.18,30.11,10,8,4,8,2,,0.00,1,,115<br />
2013-2-26,34,30,27,32,29,19,96,85,64,30.11,29.69,29.49,10,4,0,20,12,31,0.82,6,Fog-Rain-Snow,77<br />
2013-2-27,35,34,33,34,32,31,100,93,85,29.59,29.51,29.43,10,4,0,12,7,17,0.30,8,Fog-Snow,187<br />
2013-2-28,37,34,30,32,29,24,96,84,70,29.97,29.74,29.55,10,8,2,18,9,25,0.00,8,Snow,347<br />
2013-3-1,28,26,25,24,20,18,82,76,71,30.12,30.06,29.98,10,10,10,15,11,21,0.00,8,,12<br />
2013-3-2,26,24,23,19,18,16,81,74,69,30.10,30.09,30.07,10,9,5,10,8,,0.00,8,Snow,341<br />
2013-3-3,28,20,12,16,13,9,92,70,49,30.08,30.06,30.01,10,10,8,13,7,21,0.00,4,Snow,315<br />
2013-3-4,33,22,10,18,14,7,88,69,50,30.17,30.13,30.09,10,10,10,8,3,,0.00,0,,296<br />
2013-3-5,34,26,19,25,21,16,92,76,61,30.14,29.98,29.84,10,10,5,15,8,24,0.00,4,,79<br />
2013-3-6,39,32,26,28,26,21,82,73,61,30.22,30.06,29.84,10,10,10,14,9,22,0.00,5,,10<br />
2013-3-7,36,32,23,29,25,18,89,74,59,30.41,30.32,30.22,10,9,7,12,5,,0.00,7,,340<br />
2013-3-8,43,31,19,27,22,17,96,72,49,30.51,30.46,30.42,10,10,10,7,2,,0.00,0,,342<br />
2013-3-9,42,32,21,31,27,20,92,77,62,30.42,30.27,30.06,10,10,6,12,3,18,0.00,2,,135<br />
2013-3-10,61,48,35,44,38,30,85,62,51,30.04,29.92,29.81,10,10,10,17,6,25,0.01,3,Rain,188<br />
2013-3-11,54,46,37,48,44,31,100,84,64,29.81,29.63,29.48,10,8,2,24,12,33,0.28,8,Rain,210<br />
2013-3-12,37,32,28,31,28,24,93,80,67,29.94,29.84,29.71,10,9,2,17,12,23,0.01,8,Snow,248<br />
2013-3-13,32,28,24,27,21,12,93,76,53,30.21,29.97,29.85,10,6,1,24,11,31,0.00,7,Snow,282<br />
2013-3-14,42,30,19,21,17,11,85,60,38,30.28,30.21,30.10,10,10,10,13,8,20,0.00,0,,277<br />
2013-3-15,41,34,30,34,30,20,100,81,59,30.09,29.92,29.84,10,6,1,15,8,84,0.06,7,Rain-Snow,296<br />
2013-3-16,34,31,28,32,26,20,100,87,66,30.06,29.84,29.74,10,5,1,18,8,71,0.09,8,Snow,39<br />
2013-3-17,34,26,21,23,17,12,80,67,51,30.28,30.18,30.04,10,10,10,15,8,18,0.00,3,,31<br />
2013-3-18,35,29,23,36,28,15,100,87,69,30.18,29.74,29.54,10,5,1,20,11,28,0.04,7,Rain-Snow,107<br />
2013-3-19,35,29,23,30,17,12,87,68,58,29.96,29.78,29.61,10,8,2,25,17,38,0.00,8,Snow,256<br />
2013-3-20,30,24,17,16,13,8,71,63,47,29.97,29.93,29.89,10,8,2,18,13,26,0.00,6,Snow,283<br />
2013-3-21,33,24,15,21,17,9,84,73,56,29.96,29.90,29.85,10,8,2,17,11,24,0.00,7,Snow,288<br />
2013-3-22,41,32,26,21,18,15,75,60,43,30.04,29.99,29.93,10,10,8,14,10,24,0.00,5,Snow,303<br />
2013-3-23,39,29,21,23,20,16,89,68,52,30.12,30.08,30.03,10,10,9,8,4,,0.00,3,,342<br />
2013-3-24,37,28,21,23,21,17,85,69,46,30.04,29.87,29.64,10,10,8,20,7,29,0.00,4,,57<br />
2013-3-25,41,34,30,27,24,21,80,65,51,29.92,29.67,29.55,10,9,5,18,14,25,0.00,8,Snow,26<br />
2013-3-26,46,38,33,29,26,22,78,65,49,30.13,30.04,29.93,10,10,9,16,10,21,0.00,8,Snow,317<br />
2013-3-27,48,38,30,29,24,22,82,60,40,30.22,30.17,30.13,10,10,10,18,12,25,0.00,4,,298<br />
2013-3-28,54,42,30,26,23,21,75,52,31,30.28,30.25,30.22,10,10,10,15,9,21,0.00,4,,306<br />
2013-3-29,54,40,27,23,20,17,75,50,25,30.30,30.26,30.21,10,10,10,10,5,16,0.00,1,,307<br />
2013-3-30,55,38,21,29,22,16,92,53,22,30.23,30.12,29.94,10,10,10,14,3,21,0.00,0,,217<br />
2013-3-31,60,44,30,43,34,27,89,69,32,29.92,29.72,29.63,10,7,2,20,6,28,0.05,6,Rain,259<br />
2013-4-1,39,33,26,27,15,10,73,48,30,30.12,29.95,29.72,10,10,10,20,13,26,0.00,4,Snow,311<br />
2013-4-2,43,30,19,18,12,9,82,52,27,30.27,30.17,30.10,10,10,10,20,8,29,0.00,3,,284<br />
2013-4-3,43,31,19,17,12,8,74,46,25,30.44,30.37,30.26,10,10,10,14,6,23,0.00,1,,308<br />
2013-4-4,55,37,19,24,15,12,85,49,19,30.38,30.17,29.97,10,10,10,14,4,20,0.00,0,,231<br />
2013-4-5,50,42,32,29,20,13,73,43,23,30.22,30.10,29.95,10,10,10,14,6,23,0.00,1,,16<br />
